epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1209.87,1.01284,8.68881,0.57618,0.78339,1.34907,0.91478,0.89959,0.96182,0.71839,0.59379,0.33683,0.25012,0.06479,1.02213,6.57759,0.21508,0.6207,1.39963,0.000666083,0.000666083,0.000666083
2,2368.97,0.98405,6.90164,0.42206,0.70331,1.30623,0.92327,0.92615,0.97166,0.76151,0.74463,0.46657,0.43883,0.2145,0.90051,4.9894,0.15648,0.56058,1.28981,0.00126678,0.00126678,0.00126678
3,3498.46,0.9501,6.27455,0.37301,0.6719,1.27814,0.92051,0.89575,0.94984,0.75118,0.76302,0.52421,0.50933,0.26214,0.92134,4.59028,0.17207,0.58047,1.28519,0.00180147,0.00180147,0.00180147
4,4626.4,0.89237,5.70146,0.33989,0.61916,1.23879,0.93706,0.92476,0.97075,0.78494,0.75139,0.56244,0.52279,0.28916,0.82166,4.13647,0.10966,0.50198,1.18801,0.001703,0.001703,0.001703
5,5754.23,0.85912,5.31095,0.31965,0.58754,1.21703,0.95216,0.94578,0.98341,0.8024,0.77097,0.59796,0.57925,0.36072,0.79886,3.87136,0.08852,0.45061,1.1566,0.001604,0.001604,0.001604
6,6874.79,0.83239,4.99228,0.30661,0.55852,1.19898,0.95469,0.95786,0.98566,0.83103,0.81444,0.66837,0.68466,0.44168,0.73436,3.38256,0.09656,0.41704,1.12399,0.001505,0.001505,0.001505
7,8008.04,0.80902,4.73543,0.29178,0.53901,1.1803,0.95581,0.96235,0.98727,0.84306,0.8045,0.67038,0.67875,0.45403,0.70284,3.24748,0.0848,0.39263,1.09081,0.001406,0.001406,0.001406
8,9134.27,0.78465,4.50722,0.28277,0.51403,1.1687,0.96581,0.96286,0.98832,0.85063,0.80408,0.69442,0.6961,0.47612,0.68748,3.15662,0.06742,0.37348,1.08368,0.001307,0.001307,0.001307
9,10246.3,0.77484,4.40942,0.27302,0.50688,1.16144,0.9581,0.96641,0.98779,0.85314,0.8027,0.70915,0.72266,0.52297,0.66845,2.95192,0.0682,0.36345,1.06215,0.001208,0.001208,0.001208
10,11377,0.75078,4.20437,0.26824,0.48785,1.14746,0.96161,0.96337,0.98735,0.85515,0.82009,0.71183,0.72613,0.52174,0.66226,2.87626,0.07118,0.36388,1.06131,0.001109,0.001109,0.001109
11,12686.9,0.64753,3.32966,0.09475,0.3828,1.1093,0.9686,0.9718,0.98968,0.8705,0.81889,0.74646,0.7571,0.56572,0.62894,2.61128,0.03703,0.33503,1.02806,0.00101,0.00101,0.00101
12,13864.3,0.62139,3.13377,0.08569,0.35766,1.08824,0.96684,0.97003,0.98988,0.8688,0.82462,0.75573,0.77137,0.5884,0.63457,2.48321,0.03575,0.33648,1.02077,0.000911,0.000911,0.000911
13,15016.3,0.59434,2.97327,0.07862,0.33916,1.06492,0.96658,0.97792,0.99089,0.88331,0.8383,0.76678,0.78832,0.60937,0.60139,2.39416,0.03284,0.30808,1.00882,0.000812,0.000812,0.000812
14,16209.7,0.57132,2.82916,0.07822,0.3234,1.0484,0.96955,0.96619,0.9903,0.88402,0.84635,0.77036,0.79881,0.62831,0.59638,2.28822,0.03057,0.30575,0.99498,0.000713,0.000713,0.000713
15,17339.6,0.55488,2.72864,0.07526,0.3103,1.0398,0.96737,0.97579,0.99086,0.88548,0.8424,0.79753,0.81299,0.6374,0.58815,2.20881,0.03127,0.29819,0.99047,0.000614,0.000614,0.000614
16,18470.6,0.54308,2.61527,0.07352,0.30116,1.03149,0.97594,0.974,0.99133,0.88844,0.8544,0.79139,0.80442,0.63675,0.57367,2.17225,0.02954,0.29409,0.9831,0.000515,0.000515,0.000515
17,19614.4,0.52481,2.51511,0.07241,0.2912,1.02059,0.97176,0.97464,0.99137,0.89453,0.86112,0.80699,0.82899,0.66709,0.55846,2.06919,0.02976,0.28367,0.9703,0.000416,0.000416,0.000416
18,20767.3,0.5126,2.4202,0.06986,0.27853,1.0097,0.97412,0.97528,0.99138,0.89777,0.85681,0.81468,0.83439,0.67502,0.54995,2.02429,0.02852,0.27663,0.96596,0.000317,0.000317,0.000317
19,21911.3,0.50178,2.3348,0.06825,0.27189,1.00539,0.97276,0.97888,0.99187,0.90255,0.86144,0.81856,0.83994,0.68517,0.53322,1.97122,0.02717,0.26937,0.95729,0.000218,0.000218,0.000218
20,23073.1,0.48444,2.25646,0.06754,0.2614,0.99501,0.9749,0.97979,0.992,0.90455,0.87327,0.82223,0.8439,0.68837,0.52539,1.93678,0.02772,0.26282,0.95194,0.000119,0.000119,0.000119
